"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\adduser.js", "JavaScript", 0, 72, 0, 0, 0, 0, 3, 7, 82
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\catalog.js", "JavaScript", 0, 229, 0, 0, 0, 0, 6, 8, 243
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\listusers.js", "JavaScript", 0, 61, 0, 0, 0, 0, 27, 6, 94
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\login-attempt.js", "JavaScript", 0, 65, 0, 0, 0, 0, 19, 16, 100
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\orders.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 8, 122
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\organizations.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 5, 84
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\points.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 4, 120
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\reporting.js", "JavaScript", 0, 72, 0, 0, 0, 0, 80, 43, 195
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\reports_testing.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\resetemail-attempt.js", "JavaScript", 0, 50, 0, 0, 0, 0, 4, 19, 73
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\resetpass-attempt.js", "JavaScript", 0, 63, 0, 0, 0, 0, 9, 10, 82
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\signup-attempt.js", "JavaScript", 0, 65, 0, 0, 0, 0, 6, 11, 82
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\updateaccount.js", "JavaScript", 0, 73, 0, 0, 0, 0, 16, 4, 93
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\usertype.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 1, 101
